spanishtop1k,tagalogtop1k,englishtop1k,hiligaynontop1k,bikoltop1k,waraytop1k,ilocanotop1k,cebuanotop1k,kapampangantop1k,pangasinensetop1k,yakantop1k,ivatantop1k,tausugtop1k,yamitop1k,tuwali_ifugaotop1k,masbatenotop1k
end,_At,or_,_in,i_J,ni_,_Je,ako,_me,to_,"e,_",o_n,la_,o_m,aka,ang
ier,At_,his,g_i,ako,n_p,_sa,od_,kay,ya_,"in,",o_m,u_i,_ra,ata,n_k
o_e,t_n,t_t,g_s,aga,n_k,"a,_",_ta,gan,Jes,e_m,da_,_sa,ani,Jes,_iy
_pa,nag,ill,ni_,ala,pag,sus,a_t,u_k,esu,ya_,ava,aka,ran,yu_,da_
le_,lan,in_,g_n,gan,a_k,_ag,a_p,n_n,n_n,_ta,sa_,_da,iri,esu,a_p
s_e,n_n,ve_,_ta,yan,ako,una,pan,g_b,ama,_in,o_d,siy,ni_,sus,ina
_ma,"a,_",ey_,a_p,asi,n_a,Jes,iin,_mi,nan,gan,nio,a_h,_Am,n_t,ata
_su,ya_,not,_iy,on_,a_t,esu,nan,ayu,sar,ku_,n_d,_ba,rin,nah,_ta
ero,aga,e_a,sin,_Je,ing,nag,ni_,g_t,_an,amb,n_a,han,yan,n_k,ana
con,pag,_on,lin,sus,gin,nak,lan,_ta,_ne,ai_,ra_,_am,nyo,in_,ako
"a,_",sin,hey,ako,n_a,nag,ina,usa,_Je,ng_,wa_,ay_,Īsa,ya_,us_,pag
re_,y_n,on_,a_t,Jes,",_n",a_m,_Je,nga,a_t,e_k,_an,_Īs,_to,at_,n_a
ron,man,tha,aka,esu,_ak,i_p,siy,_ku,ak_,mag,o_s,aun,yo_,day,_di
_al,asa,_fo,ags,_as,sus,no_,ini,sus,n_s,nen,a_k,sa_,si_,_in,amo
ijo,a_i,for,_ba,dan,hiy,n_a,han,_ke,a_a,",_""",ira,aga,_pa,ng_,i_s
a_l,g_i,s_a,pag,o_n,to_,a._,a_i,yan,ira,nde,man,_la,a_o,iya,apa
e_a,aki,es_,kon,o_s,kon,ak_,g_k,ata,n_m,sa_,ina,iba,_Ma,en_,n_i
an_,._A,"d,_",amo,abi,tan,apa,g_s,esu,aga,e_a,s_k,a._,aka,ida,_in
e_s,a'y,me_,mag,ay_,amo,yo_,sus,Jes,ag_,kaa,o_p,a_t,ira,kay,yo_
"os,",yan,hen,_ak,o_a,"a,_",ayo,o_n,"a,_",_ag,pai,kap,au_,_ny,ayu,i_n
n_e,siy,_wa,man,ini,_Je,i_k,Jes,ama,ey_,ini,io_,ata,i_Y,nay,os_
sta,ags,"m,_",od_,ko_,g_h,o_a,esu,abi,a_s,aam,kan,nil,n_a,_pa,o_k
s._,nil,aid,sia,siy,na_,kay,g_n,ara,kay,ahi,_ko,awa,kan,_ad,to_
por,ama,ave,ata,",_""",Jes,dak,i_J,g_s,"a,_",aa_,nga,yu_,a._,diy,aba
tro,_ba,ot_,_Je,g_n,esu,i_m,_di,us_,_di,nan,mo_,ku_,ake,mun,siy
te_,"o,_",wil,a_g,i_n,hi_,ala,dto,asa,eng,nne,o_t,ara,_Ye,a_y,niy
a_d,aka,e_o,"a,_",amo,ini,n_n,niy,ina,n_i,e_d,i_J,n_p,nir,a._,li_
se_,ali,sai,ili,a_p,dto,asa,nag,aya,aba,a_s,ni_,aya,_ya,adi,_ak
and,ana,hem,a_b,da_,_ta,kua,n_k,eng,ali,ala,s_a,aba,_jy,pu_,sab
o:_,a_m,one,yo_,ndo,iyo,ann,to_,ita,uan,n_m,_Je,n_i,pan,_yu,_Je
res,g_a,d_h,Jes,si_,_gi,ta_,nak,a._,a_n,uha,nak,_ku,jya,"y_""",o_a
s_l,"n,_",_we,esu,sak,i_J,n_t,a_u,g_d,",_""",_ga,_ay,yan,Yes,dah,sus
_vi,t_,_a_,sus,g_m,od_,i_n,aka,_sa,may,ata,o_o,mag,o._,gun,ala
o_a,gka,s_t,i_J,gad,_ba,aya,ayo,inu,nga,_Pa,ato,ta_,eso,Apu,n_p
s_p,agk,id_,tan,ot_,ala,inu,man,a_a,ina,_la,n_s,_ib,ra_,ak_,",_"""
dij,in_,who,bal,asa,kam,i_t,yan,_mu,yan,ani,awo,a_d,sir,gan,i_J
or_,ayo,se_,g_a,tan,i_n,a_d,gon,a_m,_yo,_bi,Jes,ani,to_,_Di,Jes
dos,a't,_is,",_""",kam,_di,ami,g_a,nak,_ir,tan,esu,i_Ī,ma_,ulu,esu
nto,nyo,e_h,ana,mag,rin,_ad,",_""",a_l,ayo,a_m,ano,n_t,ji_,_Ap,ko_
era,ari,The,aba,a_d,_in,_ba,_ba,n_k,o._,_Ma,sus,wa_,aci,pan,asa
s_c,la_,thi,nyo,g_s,",_""",to_,ata,g_J,ngg,man,taw,g_n,ong,n_y,ta_
_to,g_p,"s,_",ia_,niy,kan,di_,g_i,apa,in_,",_p",ari,tan,mey,lan,ayo
_mu,iny,".""_",ina,"o,_",ags,aba,na_,ku_,pan,e_p,ahe,ud_,_ko,a_m,nak
;_y,aha,ne_,agp,han,ina,o_t,kam,pan,a_m,aan,a_p,asa,ano,".""_",aya
_un,o_a,_Je,ini,"a,_",niy,o_k,g_g,ban,ale,_ku,",_""",n_b,o_d,n_i,in_
cie,g_n,_Th,gpa,ta_,a_b,awa,ko_,da_,ata,_pi,a._,pag,ata,a_a,lan
"e,_",hin,"e,_",taw,aro,man,nun,o_k,ali,n_J,i_s,"a,_",_Na,ala,te_,a_t
s_s,uma,_I_,ali,ad_,_ti,ara,ka_,_al,inm,aku,ri_,sab,Man,uwa,ama
al_,awa,d_a,iny,a_t,sir,us_,mo_,g_i,kua,nak,nan,tu_,aha,han,mag
dic,pan,f_t,",_k",ags,awo,day,si_,bat,od_,ari,ake,nan,mo_,ios,nga
bre,mag,_co,awo,ata,inm,i_s,amo,tun,aya,am_,par,n_d,"am,",Dio,abi
e_h,_ak,e_c,apa,aiy,nan,toy,us_,aki,_ba,".""_",a_t,aw_,n_d,dak,ali
par,yon,_do,ka_,aha,hir,em_,taw,g_l,n_d,kan,awa,_di,wan,wan,dto
_si,",_n",_it,o_a,_Na,"n,_",i_d,a_b,tin,bal,u_s,kav,uha,"m,_",uh_,iyo
lo_,bi_,ent,si_,a_i,"o,_",i_b,ili,_ne,kat,agu,in_,"Na,",o_j,u_D,tan
_Je,ito,o_h,us_,sab,taw,_in,ag_,_e_,",_t",ama,vat,",_""",ko_,hiy,han
_sa,o_s,th_,d_s,ada,ko_,san,_iy,n_d,lan,_de,._A,u_m,o_i,iye,d_s
del,i_n,was,ko_,ai_,a_p,ama,nin,ian,too,ana,rin,ab_,n_s,tat,aki
_cu,ndi,ter,isa,ain,at_,gan,awo,bal,ato,i_m,pan,aku,nan,n_J,kay
o._,_la,an_,g_k,mo_,aba,._N,_ak,ta_,ant,_da,ko_,a_p,i_A,_bo,a_g
_él,san,us_,kam,ki_,adt,ata,_ki,mak,yo_,e_b,_mo,kam,gay,e_h,kam
_te,di_,_ca,o_k,lag,yo_,ita,a_g,eka,san,._P,dia,u_k,",_""",ta_,ro_
s_a,n_a,_ma,i_n,_in,d_h,kan,g_p,iba,at_,un_,tan,ay_,apa,os_,ili
aba,_in,_se,imo,_ba,mat,may,li_,alu,ta_,bi_,cha,_mu,Ama,ngi,a_d
_ve,on_,our,ulo,aya,_Na,uan,ali,a_d,gga,de_,".""_",_Tu,o_p,_mi,si_
otr,t_a,ho_,ta_,o_k,_ko,aki,kon,n_a,o_a,_Tu,_As,"u,_",g_a,ung,apo
n_l,nab,it_,i_s,abo,aw_,apu,kin,_i_,us_,gge,ro_,_tu,_me,a_k,nan
ros,_ta,ith,t_s,og_,t_h,aan,sil,aba,ari,tin,mak,"ya,",pey,_te,taw
a_s,n_s,om_,kay,nan,nak,_di,imo,ani,y_m,n_p,os_,_du,i_n,ama,aha
y_l,isa,esu,ama,apa,i_h,a_p,"a,_",_yu,asa,e_n,_ya,ayn,._M,did,_la
s_q,kin,r_t,s_n,_Ka,_la,ayt,aha,nya,y_t,_pe,di_,ari,nak,e_d,ra_
_re,gay,Jes,"o,_",ka_,_bu,_si,adt,ad_,a_r,ew_,aw_,nag,o_o,ipa,g_s
nte,aba,sus,ayo,ana,mag,_ki,ita,it_,gan,ine,yan,day,".""_",_tu,ags
ara,_hi,are,_il,_ak,ri_,nto,gan,t_n,apa,ali,to_,Tuh,o_s,t_k,_ba
",_d",han,_me,pan,awo,us_,_id,ta_,anu,o_t,pan,avo,u_s,g_s,aba,ani
a_e,a_p,_di,lan,i_s,di_,dda,_us,ne_,_In,ind,pay,_bi,ken,apu,g_n
e_c,yo_,t_a,ndi,n_p,o_a,ng_,nyo,nen,_on,Tuh,aha,law,a_j,uma,".""_"
_pr,g_t,ome,bat,"n,_",-an,tan,n_a,lin,sak,guw,va_,ali,tan,a_i,ita
e_t,aya,_al,di_,g_k,awa,tao,iny,tau,ake,_Sa,asa,a_l,g_n,i_k,a_b
Jes,gan,",_t",n_k,os_,n_t,o_i,yo_,sab,kar,sab,s_n,"n,_",_an,ila,a._
esú,kay,_re,aha,_ko,_ir,kin,g_t,u_n,_am,gai,As_,yn_,yak,kal,o_m
sús,gsi,t_h,"n,_",do_,ato,enk,o_a,i_n,_ni,i_k,ian,ala,mac,wad,"a,_"
las,ara,wer,g_p,taw,n_b,"o,_",ahi,t_k,nto,asa,us_,_ya,ipa,itu,kon
les,ind,_so,nak,us_,imo,gem,ama,kek,ane,e_t,may,nak,asa,._H,ero
hab,ita,eve,o_m,dai,ot_,ung,n_u,ila,si_,mba,hen,ana,kap,od_,at_
_mi,tin,e_f,gsi,Nag,gad,na.,ung,aga,lay,pin,dir,a_b,._A,tud,mat
ía_,_da,out,wo_,aba,nma,lan,_mo,_Ka,sia,uwe,dan,_su,ten,pun,_Pa
a_m,nak,wit,ung,pag,aki,ari,aw_,ak_,"n,_","a,_",gay,amb,m_m,ini,ng_
o_l,ung,ear,to_,ban,a._,o_n,asa,mu_,nma,jar,wo_,bay,ate,_wa,ung
to_,gin,all,g_t,n_d,",_k",",_""",sul,u._,y_k,_ni,kay,a_a,ri_,un-,bat
ell,g_b,d_w,_ko,aw_,ali,oy_,n_m,_de,da_,n_b,i_a,n_a,i_a,ong,par
rqu,o_n,ad_,ot_,s_n,ton,_Na,nil,uan,n_k,aya,map,amp,a_r,nal,ini
is_,g_l,be_,aki,aki,san,o._,_ko,"u,_",_ak,n_k,n_k,al_,cir,i_m,_ku
orq,_is,d_s,ind,nab,asa,._I,_la,sal,a_k,a_p,ant,u_n,ina,ol_,atu
_ca,ya',ow_,ngo,lin,tin,mak,a_d,aku,"to,",en_,s_d,ama,_mo,a_o,imo
_fu,uwa,com,nan,lan,s_h,_la,awa,san,a._,and,si_,gka,aza,a_d,us_
o_q,sab,ur_,n_a,a._,_da,n_k,uba,_an,ra_,Man,ka_,_Sa,ori,mu_,_Na
",_q",a_b,im_,ro_,agt,ndi,".""_",a._,u_i,iba,anj,o_v,mpa,n._,n_b,uha
fue,pin,_ar,_An,agk,y_n,",_n",_da,atu,la_,nja,nti,mbu,awa,_im,a_l
o_s,o'y,s_s,mak,i_k,uha,i_i,g_b,t_m,".""_",ri_,aro,n._,_or,a_h,kat
e_m,y_s,t_i,Ang,"s,_",agp,at_,yon,_Ma,_Di,_su,pa_,ula,y_n,tan,_Di
uer,y_m,ver,god,sar,n_d,_am,ot_,kit,nsa,ge_,awr,ayt,ita,-an,s_n
tra,sil,n_h,na_,",_a",ta_,bag,"n,_",met,y_s,ell,nay,",_a",kar,u_y,awo
ces,ini,ay_,at_,"an,",und,sin,nya,_it,n_y,_ak,wri,bab,ima,ala,_da
mbr,nin,nt_,may,uli,"an,",ao_,iha,_ri,isi,em_,chi,yta,mak,ha-,"o,_"
a_c,tan,_wo,wal,ron,uma,kas,aro,lag,mpa,aba,_ar,ya.,gan,kon,ot_
_he,ni_,"im,",_Sa,o._,agt,"._""",ulo,pat,say,_mi,gan,uk_,_ci,ahi,n_g
ino,_it,hav,dto,_ki,a_s,n_d,itu,_In,_ko,isa,nat,kaw,Am_,_ki,as_
ro_,"an,",y_t,a._,".""_",ray,in_,ron,i_k,bat,_ti,ran,g_h,ika,a_t,dil
esp,oon,e_d,ero,li_,gsi,eng,wo_,al_,ung,_am,voy,lan,m_a,udu,sad
su_,ko_,e_b,ton,",_n",ada,nge,n._,etu,let,yaa,_mi,"an,",a_y,uy_,un_
man,ati,oth,ita,apo,aha,nku,mah,n_m,nku,ab_,wan,at_,ro_,aya,aw_
llo,n._,hea,aw_,od_,".""_",",_k",_bu,are,kas,inn,ken,uun,kat,a-o,agk
com,ngi,t_w,_is,ran,n._,gar,g_u,a_r,ing,ngk,y_n,kat,"_M
ka_
_Ta
nim
a_p
map
han
_va
lam
rar
aw_
o_r
ak_
y_a
nao
._T
pa_
nya
iny
_ar
amo
a_i
an.
i_o
._S
eyn
nge
ya.
anc
ama
ngo
m_n
akm
ono
._O
sya
noy
rah
_ip
ci_
_O_
ota
cya
oyo
ahe
aya
_ik
in_
aro
ey_
na.
vaz
yon
san
wak
oma
mya
gen
ao.
m_o
yam
kma
cit
Ta_
eng
zay
y_d
kak
_So
nip
jir
sa_
No_
jin
nci
o_c
So_
o_y
kwa
_sy
yng
ane
kam
cin
ape
ako
_pe
i_m
o_v
ava
to.
g_d
i_d
._N
ami
_as
ato
_ak
_sa
rat
pya
raw
em_
bo_
rwa
nen
nng
akw
imo
ng.
_ng
o,_
_No
tey
wa_
kem
eyk
ai_
en.
k_n
g_j
_Yo
a,_
mav
m_j
apy
abo
ame
_te
yat
pak
rng
irn
ovo
,_t
dan
o.",i_t,kun
",_s","i,_",_as,han,iha,t_n,"na,",o_u,ela,ran,lan,naw,dtu,m_t,aan,_Ka
tod,a._,ath,".""_",ili,apa,ngi,ag-,nun,y_d,e_i,m_n,aha,irs,nom,kit
",_l",_ku,ame,g_g,a_b,it_,yto,aki,n_y,abi,as_,han,u._,rsi,tak,t_s
ntr,ako,e_i,_Na,_ha,ahi,ags,ban,uli,oto,apa,amo,tuu,eyv,mak,agp
cua,i_J,t_o,_la,as_,pak,adi,".""_",e_k,aan,pī_,mna,_mi,n_o,ngu,ano
ant,nas,st_,_wa,an.,_sa,sa_,ina,n._,ila,al_,_vi,._N,gar,_ni,adi
",_p",ka',_fr,id_,mon,gpa,_Di,i_s,iti,kan,i_p,ti_,gaw,men,hod,iha
_ho,i_s,s_w,g_b,pin,Nag,nda,o._,_si,o_n,_ha,ios,ubu,n_j,_um,_ko
_ci,sus,ple,ban,bi_,n_g,a_s,inu,pam,to.,pag,ng_,In_,a_v,aku,ulo
lla,bag,man,ong,n._,ama,n_i,uha,e_n,_pi,e._,n_m,di_,rak,idi,s_s
n_a,gag,_bu,gid,uma,Gin,nia,_ti,_ng,ine,niy,ini,".""_",non,_ba,no_
_so,_Je,red,yon,kai,ka_,uma,nah,",_a",key,ey_,_Di,sil,yya,ok_,awa
_pe,apu,_te,mat,_al,abo,y_a,agp,._I,_mo,i_i,ma_,gan,min,tuw,gka
ido,aan,n_a,n._,gsa,._N,ani,gpa,kal,gaw,ann,Dio,i_n,g_o,",_m",di_
s_h,kun,le_,ahi,n_i,ita,ant,dil,._N,_im,_pī,ey_,awn,eyr,n_A,n_t
_vo,tap,n_o,niy,_ga,s_n,wan,mag,ka_,nak,du_,ako,ina,_in,_Ha,mak
a._,ami,d_b,_tu,t_n,mak,pay,og_,_Di,d_k,_ke,o_i,wn_,arw,u_t,n._
e_p,ibi,s_o,os_,bih,wo_,ays,wal,n_i,lin,a_k,_va,ra_,ngi,imm,may
e_v,lin,ive,agk,ama,o_k,bal,nii,kap,ami,ung,kad,lau,m_i,yan,ag-
a_q,ula,_pr,_im,un_,"s,_",t_n,_Di,_nu,y_p,a_d,ino,u_h,_om,yun,nam
des,ta_,",_s",kit,ato,ngo,idi,_ga,._M,ton,_te,kar,g_s,miz,bal,pos
ere,lal,_de,a_l,g_a,inu,gba,mak,g_n,tot,egg,n_o,an.,oy_,i_p,ad_
_me,ino,g_t,ari,ura,sa_,ysa,ipa,li_,ita,at_,din,_ki,eyy,_ah,_ga
nta,aon,e_m,ati,gka,nah,asi,d_s,utu,no_,._S,o_D,ak_,kal,hid,i_k
jo:,wa',And,atu,_di,_tu,aw_,uta,ti_,"s,_",ga_,ori,uud,g._,ntu,gpa
a_t,_ko,_An,abo,n_t,ngl,ali,-an,nu_,ulo,a_n,kat,hin,yra,mat,_ha
a_p,a_t,had,ag-,n_b,ung,min,ika,s_k,ngi,uma,ngo,apa,yo.,s_a,o._
sto,ili,rom,Nag,s_s,gka,att,an.,in_,bag,mbu,_ak,_pi,_Si,lug,gan
s;_,upa,._T,uta,_ku,kay,tat,kay,e_i,nya,ate,nia,aan,ici,_pu,adt
_pu,"ya,",s_h,lo_,i_t,ag_,i_A,mon,sin,toy,bin,a_y,abu,ito,nil,god
os.,si_,d_i,_bu,_mo,kit,dia,g_d,_Ng,sal,k_m,y_d,yaw,amy,n_p,gay
"n,_",pat,"n,_",nah,._A,hat,add,tin,kat,kin,anu,ach,n_T,asi,ngn,pa_
omb,_bu,ord,n_m,_la,asi,tay,gay,kas,a_p,sin,adi,_Ma,apo,hin,ton
nos,Jes,_go,gan,ag-,a_d,nap,aba,lak,y_i,lai,nge,ing,oya,_ti,d_n
oso,"s,_",ers,nin,san,_su,on_,a_l,pa_,aki,san,ong,awm,ayo,-on,._P
ién,a_l,hin,gka,iri,os_,i_D,_wa,mun,lab,ale,yen,uuk,iya,lin,pak
aqu,esu,"r,_",Gin,ano,dir,tta,abo,i_J,o_r,._M,_pi,da_,yap,_Ka,n_d
._E,_pi,m_t,s_s,ari,a_l,_me,._A,_tu,_ki,ak_,y_a,_wa,kas,ako,gsa
_ti,sal,fro,_Ka,agd,may,kit,mii,u_a,",_a",i_d,api,",_i",m_d,d_d,Gin
mo_,t_i,but,y_n,hul,ian,s._,apa,a_p,_Ka,miy,ama,._S,n_k,u._,y_n
a_a,hat,e_p,ani,ani,usa,met,agk,Nga,sin,"ne,",kam,bun,pat,h_d,kad
ios,_mo,ven,._S,yo_,ika,ram,hat,"n,_",t_s,a_i,apo,_Pa,eyp,_pi,_su
él_,puw,"em,",o._,kak,buh,ida,agh,ran,"an,",ant,m_m,unu,y_s,dam,_am
us_,tao,_ou,gap,ag_,_im,s_k,._U,rel,min,n_a,ani,uwa,i._,pul,_Sa
rá_,it_,y_w,pa_,nas,_Gi,_im,kit,mag,a_l,dem,kak,ita,kon,-ap,asu
str,isi,ght,tag,ibo,agk,t_i,lay,ri_,._I,pat,iak,ngk,key,mma,war
_aq,_ga,les,in_,t_s,la_,o_d,_in,a_y,t_n,k_p,oya,",_s",izi,nat,wo_
ser,t_m,est,_am,kon,aya,pag,_An,awa,mba,ara,ayt,uli,ain,na.,pat
_os,t_k,"t,_",a_d,o_m,bat,lin,ari,._K,g_t,te_,ono,kiy,enn,utt,i_a
ues,to_,_li,ada,kat,g_n,mat,o_m,bia,n_p,kit,sir,isa,ali,uwe,o_p
y_d,kas,ld_,y_s,bag,n-a,iak,ton,api,a_i,mak,ot_,pan,w_n,ing,"s,_"
e_n,tay,em_,int,isi,_ig,ios,bot,an.,_li,ite,wa_,agb,so.,i_n,sur
ici,wal,rea,n-a,par,war,Dio,agt,"s,_",met,us_,es_,ug_,tat,gng,ios
adr,kit,_st,_Si,hay,y_h,ika,gka,g_e,._N,kew,ota,mat,hap,ibo,ato
dre,;_a,ose,anu,tin,an.,dal,nsa,as_,o_s,ami,pak,atu,y._,_ku,an.
onc,"bi,",",_b",_Di,nap,o._,_no,n-a,ula,asi,_na,vah,agp,ap_,y_k,nin
nce,g_d,whe,gsa,_pi,_ki,dan,ha_,g_D,ga_,_pu,asi,biy,nek,ona,"n,_"
s_m,_lu,ate,adt,ram,ran,i_l,_su,t_i,n._,_ng,i_n,_is,ila,bon,yod
jo_,_An,do_,awa,agh,lan,o_m,Ang,lal,y_n,gka,kas,adt,_ap,et_,ada
o_p,sis,e_y,uto,may,no_,t_k,"o,_",ra_,Dio,kal,sin,uku,yka,ad_,ila
dad,lag,e_l,asa,n_g,agb,a_b,bal,nit,ios,"an,",_to,buu,es_,mal,ins
"es,",agp,",_w",pat,_Da,gli,int,i_k,yun,nge,kat,pin,kal,hay,oy_,ka_
",_e",as_,ly_,dal,ulo,_ku,"_""A",_Sa,t_d,o_m,n_i,o._,u_d,isa,gge,kas
_ll,mat,_si,kat,hil,ag-,t_t,tub,nab,g_n,_is,od_,wm_,aml,aga,Dio
aro,ipa,kin,-an,kun,"_N
da_
o_m
kak
ugo
gat
_bi
lin
as_
yan
kat
a_g
tun
lit
pan
._K
yos
Dyo
ulo
_Dy
kin
ad_
n_s
kab
ins
uga
i_a
n_l
ya,
kad
atu
kal
sug
kas
_wa
bot
did
nir
ati
d_n
una
pay
_li
pa_
ba_
n_D
_Sa
_Ma
aga
had
uru
kun
ano
tag
uta
ak_
igi
sum
bal
tik
i_k
n_u
but
god
ayo
o_i
bay
abu
_am
adi
agh
ari
on,
agi
nun
ong
wat
_Pa
gar
inh
aho
_us
sin
us,
kar
g,_
nab
un-
isa
law
gba
n_J
s._
ra,
sal
tay
gtu
y_a
San
g_a
apo
_si
uno
in-
mah
gsu
i_m
_Ju
k_h
was
yaw
par
ngk
yon
n_A
ya.
ngi
bas
upa
inb
gla
_Ha
anh
og_
._H
yag
Kun
g-a
_gu
dla
on.
adl
_Ku
ila
nta
aro
idt
bab
ino
inp
o_p
aan
int
?_",imm,as_,bi_,iad,aki,vin,mak,zin,dat,n_b
da_,ngg,._A,i_k,s_a,_An,gpa,ult,nam,d_a,"ye,",raw,ham,pac,abu,uga
ste,_Sa,use,ios,ahi,ani,gsa,os_,s._,mak,yan,_Am,_In,_mi,pat,uan
o;_,_ib,d_o,agh,ali,dam,agt,san,ati,_bi,u_i,non,",_l",o_Y,-in,bi_
y_e,mak,r_a,agt,g_i,ban,agb,sab,ios,apo,aga,"ia,",_ak,mam,u_n,hal
ta_,may,",_h",no_,._N,go_,aen,ios,ili,n_e,kas,_Ma,uma,law,_am,pan
o_t,s_n,m_a,pam,i_a,nha,da.,Dio,Dio,wan,kah,_om,uga,vah,id_,uru
ará,o._,say,Dio,nak,iba,ten,_Un,_ti,lap,den,dim,li_,ili,din,t_n
a_v,aw_,wor,gas,pan,_Ka,ipa,ato,iwa,apu,nun,ich,ini,mar,ale,usa
